单字	拆分	编码权重	词库权重
㖽	口頁	-1000	100
㖾	口口䒑	-1000	100
㖿	口耳阝	-1000	100
㗀	口山幺幺	-1000	100
㗁	口口口二ㄅ	-1000	100
㗂	口小丿目	-1000	100
㗃	口民日	-1000	100
㗄	口罒方	-1000	100
㗅	口十口月	-1000	100
㗆	口革	-1000	100
㗇	口二コ又	-1000	100
㗈	口龴力	-1000	100
㗉	丰刀夂口	-1000	100
㗊	口口口口	-1000	100
㗋	口⺈厂矢	-1000	100
㗌	口宀土	-1000	100
㗍	口香	-1000	100
㗎	口力口木	-1000	100
㗏	口不一止	-1000	100
㗐	口大丶皿	-1000	100
㗑	口	-1000	100
㗒	口衣口	-1000	100
㗓	口辶	-1000	100
㗔	口虍文	-1000	100
㗕	口一冂土	-1000	100
㗖	口爫臼	-1000	100
㗗	口力白丿十	-1000	100
㗘	口甫寸	-1000	100
㗙	口勹勹	-1000	100
㗚	口覀木	-1000	100
㗛	口⺮丿大	-1000	100
㗜	口亠幺田	-1000	100
㗝	口灬	-1000	100
㗞	口石皮	-1000	100
㗟	氵丶王口匕	-1000	100
㗠	女厶口口匕	-1000	100
㗡	艹亻乃口匕	-1000	100
㗢	口千田土力	-1000	100
㗣	口艹冖巾	-1000	100
㗤	戊⺊一小口	-1000	100
㗥	口子阝	-1000	100
㗦	口耳卩	-1000	100
㗧	口穴土	-1000	100
㗨	匸矢殳口	-1000	100
㗩	口羽白	-1000	100
㗪	口止匕糸	-1000	100
㗫	口又示	-1000	100
㗬	夕夕	-1000	100
㗭	口釆心	-1000	100
㗮	夕口广人	-1000	100
㗯	耂日口匕	-1000	100
㗰	口彳人人龰	-1000	100
㗱	口隹木	-1000	100
㗲	口聿田一	-1000	100
㗳	口⺮亼口	-1000	100
㗴	口門月	-1000	100
㗵	口火火欠	-1000	100
㗶	口癶弓殳	-1000	100
㗷	口宀一贝	-1000	100
㗸	口行缶	-1000	100
