字根	字根码	字根扩展码	Unicode分区	部件映射	电子设备显示兼容	准备弃用	
冫	Sb		基本区			
゛	Sb		日文平假名			
⺀	Sb		部首补充			
	Sp		私用区		川	
	Sp		私用区		川	
巜	Sp		基本区			
川	Sp		基本区			
巛	Sp		基本区			
𡿦	Sp		扩展B区		巛	
〣	Sp		标点符号			
	Sv		私用区		水	
	Sv		私用区		水	
水	Sv		基本区			
	Sv		私用区		水	
	Sv		私用区		水	
	Sv		私用区		水	
⺢	Sv		部首补充			
𣱱	Sv		扩展B区		水	
	Sv		私用区		水	
⺡	Sv		部首补充			
氺	Sv		基本区			
氵	Sv		基本区			
	Sv		私用区		水	
⼴	Ta		康熙部首	广		
广	Ta		基本区			
厂	Tc		基本区			
⺁	Tc		部首补充			
	Tc		私用区		⺁	
𨸏	Td		扩展B区			
㠯	Td		扩展A区			
㠯	Td		兼容区		㠯	
𤕪	Td		扩展B区		㠯	
	Td		私用区		㠯	
⻕	Td		部首补充			
阝	Te		基本区			
阜	Tfu	Tfuv	基本区			
士	Ti		基本区			
石	To		基本区			
山	Ts		基本区			
土	Tu		基本区			
	Tu		私用区		土	
⾕	Tv		康熙部首	谷		
	Tv		私用区		⾕	
	Tv		私用区		⾕	
谷	Tv	Tvv	基本区			
𧮫	Tv		扩展B区		谷	
𠔌	Tv		扩展B区		谷	
𨙨	Tyi		扩展B区		邑	
邑	Tyi		基本区			
𠙴	U		扩展B区		凵	
凵	U		基本区			
ㄩ	U		注音符号			
鼎	Uaa		基本区			
𣇓	Uaa		扩展B区		鼎	
⿍	Uaa		康熙部首	鼎		
𪔂	Uaa		扩展B区		鼎	
	Ub		私用区		匕	
香	Ub		基本区			
	Ub		私用区		匕	
匕	Ubi		基本区			
	Ubi		私用区		匕	
	Ubi		私用区		匕	
	Ubi		私用区		匕	
豆	Udo		基本区			
斗	Udu		基本区			
缶	Uf	Ufv	基本区			
𤮺	Uga		扩展B区		甘	
	Uga		私用区		甘	
𠀠	Uga		扩展B区		甘	
甘	Uga		基本区			
	Uga		私用区		甘	
瓜	Ugu		基本区			
⽠	Ugu		康熙部首	瓜		
𥝌	Uh		扩展B区		禾	
禾	Uh	Uhe	基本区			
韭	Uh	Uhv	基本区			
米	Ui		基本区			
𦥒	Uj		扩展B区		臼	
臼	Uj	Uji	基本区			
㒳	Ul		扩展A区			
⽾	Ul		康熙部首			
耒	Ul	Ule	基本区			
両	Ul		基本区			
兩	Ul		兼容区			
兩	Ul		基本区			
两	Ul		基本区			
𦓤	Ul		扩展B区		⽾	
⿀	Uli		康熙部首	鬲		
鬲	Uli	Uliv	基本区			
鹵	Ulu		基本区			
卤	Ulu		基本区			
𠧪	Ulu		扩展B区		卤	
麥	Um		基本区			
	Um		私用区		麦	
麦	Um		基本区			
皿	Um	Umv	基本区			
𩙿	Us		扩展B区			
饣	Us		基本区			
	Us		私用区		⾷	
⾷	Us		康熙部首	食		
飠	Us		基本区			
	Us		私用区		⾷	
⻞	Us		部首补充			
食	Us		基本区			
鬯	Uu	Uuvv	基本区			
北	Uv		基本区			
	Uv		私用区		北	
瓦	Uw		基本区			
⽡	Uw		康熙部首	瓦		
辛	Ux		基本区			
	Ux		私用区		辛	
酉	Uy		基本区			
	Uy		私用区		丣	
丣	Uy		基本区			
𠚒	Uy		扩展B区		酉	
	Uzu		私用区	⺮	⺮	是
	Uzu		私用区		⺮	
⺮	Uzu		部首补充			
竹	Uzu		基本区			
	Uzu		私用区		竹	
	Vb		私用区		八	
丷	Vb		基本区			
八	Vb		基本区			
	Vb		私用区		八	
二	Ve		基本区			
𠄟	Ve		扩展B区		二	
𠄠	Ve		扩展B区		二	
䒑	Vh		扩展A区			
	Vh		私用区		䒑	
尙	Wa		基本区			
龸	Wa		基本区补充			
	Wa		私用区		尚	
尚	Wa		基本区			
	Wa		私用区		龸	
	Wf		私用区		風	
风	Wf		基本区			
風	Wf	Wfv	基本区			
	Wh		私用区		业	
	Wh		私用区		业	
	Wh		私用区		业	
	Wh		私用区		业	
	Wh		私用区		业	
业	Wh		基本区			
	Wi		私用区		小	
	Wi		私用区		小	
𡭔	Wi		扩展B区		小	
小	Wi		基本区			
⺌	Wi		部首补充			
	Wi		私用区		小	
气	Wq	Wqi	基本区			
光	Wr		基本区			
⻗	Ws		部首补充			
𠕒	Ws		扩展B区		雨	
𠕘	Ws		扩展B区		雨	
	Ws		私用区		雨	
雨	Ws		基本区			
𠕲	Ws		扩展B区		雨	
	Ws		私用区		雨	
	Ws		私用区		雨	
	Wu		私用区		火	
	Wu		私用区		火	
灬	Wu		基本区			
火	Wu		基本区			
	Wu		私用区		火	
	Wu		私用区		火	
	Wu		私用区		火	
	Wu		私用区		火	
	Wv		私用区		云	
云	Wv		基本区			
不	Ww		基本区			
𣎴	Ww		扩展B区			
	X		私用区		㐅	
㐅	X		扩展A区			
〤	X		标点符号			
